BRANCH_ID|CUSTOMER_ID|PANEL_ID|INV_DATE|PRODUCT_ID|SELL_PRICE|QTY_SOLD|QTY_BONUS|INV_NO|SECTOR_ID|QTY_BNS_SDM|QTY_BNS_CONV|TOT_QTY_BNS|NETT_QTY_SOLD|SO_SAPORA_NO|CUST_SHIP_ID_ORACLE|
03|300677||01-Dec-2020|0070018|40,100.00|1|0|400102200022453|A1|0|0|0|1||3573|
03|308743||03-Dec-2020|0070044|61,600.00|2|0|400102200022530|A1|0|0|0|2||4954|
03|308743||03-Dec-2020|0070071|40,300.00|2|0|400102200022530|A1|0|0|0|2||4954|
03|308743||03-Dec-2020|0070167|42,500.00|1|0|400102200022530|A1|0|0|0|1||4954|
03|309348||04-Dec-2020|0070026|31,500.00|100|0|400102200022690|D1|0|0|0|100||5834|
03|309348||04-Dec-2020|0070039|23,000.00|50|0|400102200022690|D1|0|0|0|50||5834|
03|309348||04-Dec-2020|0070041|33,800.00|50|0|400102200022690|D1|0|0|0|50||5834|
03|309348||04-Dec-2020|0070045|13,350.00|97|0|400102200022690|D1|0|0|0|97||5834|
03|309350||02-Dec-2020|0070007|29,000.00|2|0|400102200022463|A1|0|0|0|2||5999|
03|309350||02-Dec-2020|0070019|37,300.00|1|0|400102200022463|A1|0|0|0|1||5999|
03|309580||04-Dec-2020|0070044|61,600.00|3|0|400102200022636|A1|0|0|0|3||5494|
03|309580||04-Dec-2020|0070071|40,300.00|2|0|400102200022636|A1|0|0|0|2||5494|
03|||02-Dec-2020|0070020|31,625.00|50|0|400102200022483|R7|0|0|0|50||357925|
03|||02-Dec-2020|0070022|31,625.00|50|0|400102200022483|R7|0|0|0|50||357925|
03|||03-Dec-2020|0070044|61,600.00|50|0|400102200022605|D1|0|0|0|50||309650|
03|||03-Dec-2020|0070086|62,600.00|100|0|400102200022543|D1|0|0|0|100||309650|
21|2100105||02-Dec-2020|0070017|26,200.00|5|0|400106200020952|R7|0|0|0|5||217173|
21|2100105||02-Dec-2020|0070018|40,100.00|7|0|400106200020952|R7|0|0|0|7||217173|
21|2100105||02-Dec-2020|0070020|31,625.00|12|0|400106200020952|R7|0|0|0|12||217173|
21|2100105||02-Dec-2020|0070022|31,625.00|12|0|400106200020952|R7|0|0|0|12||217173|
21|2100105||02-Dec-2020|0070044|61,600.00|10|0|400106200020952|R7|0|0|0|10||217173|
21|2100105||02-Dec-2020|0070059|22,900.00|14|0|400106200020952|R7|0|0|0|14||217173|
21|2100574||02-Dec-2020|0070039|23,000.00|12|0|400106200020997|R1|0|0|0|12||217669|
21|2100574||02-Dec-2020|0070041|33,800.00|12|0|400106200020997|R1|0|0|0|12||217669|
